source	v1	target	v2	r0	b
Ac	3	Br	-1	2.75	0.4
Ac	3	Cl	-1	2.615	0.385
Ac	3	F	-1	2.115	0.385
Ac	3	O	-2	2.265	0.36
Ag	1	Cl	-1	2.09	0.37
Ag	1	F	-1	1.8	0.37
Ag	1	O	-2	1.8407	0.3663
Ag	1	S	-2	2.119	0.37
Ag	9	As	-3	2.3	0.37
Ag	9	Br	-1	2.22	0.37
Ag	9	H	-1	1.5	0.37
Ag	9	I	-1	2.38	0.37
Ag	9	N	-3	1.85	0.37
Ag	9	P	-3	2.22	0.37
Ag	9	Se	-2	2.26	0.37
Ag	9	Te	-2	2.51	0.37
Al	3	As	-3	2.3	0.37
Al	3	Br	-1	2.2	0.37
Al	3	Cl	-1	2.032	0.37
Al	3	F	-1	1.545	0.37
Al	3	H	-1	1.45	0.37
Al	3	I	-1	2.41	0.37
Al	3	N	-3	1.79	0.37
Al	3	O	-2	1.643	0.38
Al	3	P	-3	2.24	0.37
Al	3	S	-2	2.13	0.37
Al	3	Se	-2	2.27	0.37
Al	3	Te	-2	2.48	0.37
Am	3	Br	-1	2.59	0.4
Am	3	Cl	-1	2.465	0.385
Am	3	F	-1	1.99	0.385
Am	3	O	-2	2.12	0.36
Am	4	F	-1	1.96	0.4
Am	4	O	-2	2.08	0.37
Am	5	F	-1	1.95	0.4
Am	5	O	-2	2.07	0.35
Am	6	F	-1	1.95	0.4
Am	6	O	-2	2.05	0.35
As	3	C	-4	1.93	0.37
As	3	Cl	-1	2.16	0.37
As	3	F	-1	1.7	0.37
As	3	O	-2	1.768	0.431
As	3	S	-2	2.272	0.37
As	5	Cl	-2	2.14	0.37
As	5	F	-1	1.62	0.37
As	5	O	-2	1.766	0.361
Au	3	Cl	-1	2.17	0.37
Au	3	F	-1	1.81	0.37
Au	3	O	-2	1.8615	0.37
Au	9	As	-3	2.22	0.37
Au	9	Br	-1	2.12	0.37
Au	9	H	-1	1.37	0.37
Au	9	I	-1	2.34	0.37
Au	9	N	-3	1.72	0.37
Au	9	P	-3	2.14	0.37
Au	9	S	-2	2.03	0.37
Au	9	Se	-2	2.18	0.37
Au	9	Te	-2	2.41	0.37
B	3	As	-3	1.97	0.37
B	3	Br	-1	1.88	0.37
B	3	C	-4	1.569	0.28
B	3	Cl	-1	1.74	0.37
B	3	F	-1	1.2933	0.37
B	3	H	-1	1.14	0.37
B	3	I	-1	2.1	0.37
B	3	N	-3	1.476	0.37
B	3	O	-2	1.369	0.3657
B	3	P	-3	1.9	0.37
B	3	S	-2	1.8175	0.37
B	3	Se	-2	1.95	0.37
B	3	Te	-2	2.2	0.37
Ba	2	As	-3	2.96	0.37
Ba	2	Br	-1	2.88	0.37
Ba	2	Cl	-1	2.69	0.37
Ba	2	F	-1	2.188	0.37
Ba	2	H	-1	2.22	0.37
Ba	2	I	-1	3.13	0.37
Ba	2	N	-3	2.47	0.37
Ba	2	O	-2	2.254	0.388
Ba	2	P	-3	2.88	0.37
Ba	2	S	-2	2.769	0.37
Ba	2	Se	-2	2.88	0.37
Ba	2	Te	-2	3.08	0.37
Be	2	As	-3	2.0	0.37
Be	2	Br	-1	1.9	0.37
Be	2	Cl	-1	1.76	0.37
Be	2	F	-1	1.281	0.37
Be	2	H	-1	1.11	0.37
Be	2	I	-1	2.1	0.37
Be	2	N	-3	1.5	0.37
Be	2	O	-2	1.405	0.3335
Be	2	P	-3	1.95	0.37
Be	2	S	-2	1.83	0.37
Be	2	Se	-2	1.97	0.37
Be	2	Te	-2	2.21	0.37
Bi	3	Br	-1	2.597	0.37
Bi	3	Cl	-1	2.48	0.37
Bi	3	F	-1	1.99	0.37
Bi	3	O	-2	2.0507	0.413
Bi	3	S	-2	2.57	0.37
Bi	5	Cl	-1	2.44	0.37
Bi	5	F	-1	1.97	0.37
Bi	5	O	-2	2.055	0.344
Bi	9	As	-3	2.72	0.37
Bi	9	Br	-1	2.62	0.37
Bi	9	H	-1	1.97	0.37
Bi	9	I	-1	2.84	0.37
Bi	9	N	-3	2.24	0.37
Bi	9	P	-3	2.63	0.37
Bi	9	S	-2	2.55	0.37
Bi	9	Se	-2	2.72	0.37
Bi	9	Te	-2	2.87	0.37
Bk	3	Br	-1	2.56	0.4
Bk	3	Cl	-1	2.44	0.385
Bk	3	F	-1	1.955	0.385
Bk	3	O	-2	2.09	0.36
Bk	4	F	-1	1.93	0.4
Bk	4	O	-2	2.07	0.35
Br	7	Cl	-1	2.19	0.37
Br	7	F	-1	1.72	0.37
Br	7	O	-2	1.81	0.37
C	4	C	4	1.54	0.37
C	4	Cl	-1	1.76	0.37
C	4	F	-1	1.32	0.37
C	4	N	-3	1.442	0.37
C	4	O	-2	1.395	0.315
C	9	As	-3	1.99	0.37
C	9	Br	-1	1.9	0.37
C	9	H	-1	1.1	0.37
C	9	I	-1	2.12	0.37
C	9	N	-3	1.47	0.37
C	9	P	-3	1.89	0.37
C	9	S	-2	1.82	0.37
C	9	Se	-2	1.97	0.37
C	9	Te	-2	2.21	0.37
Ca	2	As	-3	2.62	0.37
Ca	2	Br	-1	2.5	0.37
Ca	2	Cl	-1	2.37	0.37
Ca	2	F	-1	1.856	0.37
Ca	2	H	-1	1.83	0.37
Ca	2	I	-1	2.72	0.37
Ca	2	N	-3	2.105	0.37
Ca	2	O	-2	1.925	0.3898
Ca	2	P	-3	2.55	0.37
Ca	2	S	-2	2.45	0.37
Ca	2	Se	-2	2.56	0.37
Ca	2	Te	-2	2.76	0.37
Cd	2	As	-3	2.43	0.37
Cd	2	Br	-1	2.342	0.37
Cd	2	Cl	-1	2.2207	0.37
Cd	2	F	-1	1.811	0.37
Cd	2	H	-1	1.66	0.37
Cd	2	I	-1	2.5475	0.37
Cd	2	N	-3	1.9555	0.37
Cd	2	O	-2	1.8687	0.39
Cd	2	P	-3	2.34	0.37
Cd	2	S	-2	2.2915	0.37
Cd	2	Se	-2	2.4	0.37
Cd	2	Te	-2	2.59	0.37
Ce	3	Br	-1	2.65	0.375
Ce	3	Cl	-1	2.5167	0.38
Ce	3	F	-1	2.018	0.385
Ce	3	I	-1	2.87	0.4
Ce	3	O	-2	2.1325	0.3795
Ce	3	S	-2	2.602	0.37
Ce	4	F	-1	1.9825	0.385
Ce	4	N	-3	2.179	0.37
Ce	4	O	-2	2.0493	0.3853
Ce	9	As	-3	2.78	0.37
Ce	9	Br	-1	2.69	0.37
Ce	9	Cl	-1	2.41	0.37
Ce	9	H	-1	2.04	0.37
Ce	9	I	-1	2.92	0.37
Ce	9	N	-3	2.297	0.37
Ce	9	P	-3	2.7	0.37
Ce	9	S	-2	2.62	0.37
Ce	9	Se	-2	2.74	0.37
Ce	9	Te	-2	2.92	0.37
Cf	3	Br	-1	2.55	0.4
Cf	3	Cl	-1	2.4367	0.38
Cf	3	F	-1	1.945	0.385
Cf	3	O	-2	2.07	0.37
Cf	4	F	-1	1.92	0.4
Cf	4	O	-2	2.06	0.35
Cl	7	Cl	-1	2.0	0.37
Cl	7	F	-1	1.55	0.37
Cl	7	O	-2	1.6505	0.399
Cm	3	Cl	-1	2.53	0.385
Cm	3	F	-1	2.04	0.385
Cm	3	O	-2	2.175	0.36
Cm	4	F	-1	1.94	0.4
Cm	4	O	-2	2.08	0.35
Co	2	Cl	-1	2.0215	0.37
Co	2	F	-1	1.64	0.37
Co	2	O	-2	1.695	0.373
Co	3	C	2	1.634	0.37
Co	3	Cl	-1	2.05	0.37
Co	3	F	-1	1.62	0.37
Co	3	O	-2	1.7	0.37
Co	9	As	-3	2.28	0.37
Co	9	Br	-1	2.18	0.37
Co	9	H	-1	1.44	0.37
Co	9	I	-1	2.37	0.35
Co	9	N	-3	1.84	0.37
Co	9	O	-2	1.655	0.42
Co	9	P	-3	2.21	0.37
Co	9	S	-2	2.06	0.37
Co	9	Se	-2	2.24	0.37
Co	9	Te	-2	2.46	0.37
Cr	2	Cl	-1	2.09	0.37
Cr	2	F	-1	1.67	0.37
Cr	2	O	-2	1.7455	0.36
Cr	3	Cl	-1	2.08	0.37
Cr	3	F	-1	1.6485	0.37
Cr	3	O	-2	1.724	0.37
Cr	6	Cl	-1	2.12	0.37
Cr	6	F	-1	1.74	0.37
Cr	6	O	-2	1.794	0.37
Cr	9	As	-3	2.34	0.37
Cr	9	Br	-1	2.26	0.37
Cr	9	H	-1	1.52	0.37
Cr	9	I	-1	2.45	0.37
Cr	9	N	-3	1.85	0.37
Cr	9	O	-2	1.79	0.34
Cr	9	P	-3	2.27	0.37
Cr	9	S	-2	2.18	0.37
Cr	9	Se	-2	2.29	0.37
Cr	9	Te	-2	2.52	0.37
Cs	1	As	-3	3.04	0.37
Cs	1	Br	-1	2.95	0.37
Cs	1	Cl	-1	2.791	0.37
Cs	1	F	-1	2.33	0.37
Cs	1	H	-1	2.44	0.37
Cs	1	I	-1	3.18	0.37
Cs	1	N	-3	2.53	0.37
Cs	1	O	-2	2.3565	0.3905
Cs	1	P	-3	2.93	0.37
Cs	1	S	-2	2.89	0.37
Cs	1	Se	-2	2.98	0.37
Cs	1	Te	-2	3.16	0.37
Cu	1	F	-1	1.6	0.37
Cu	1	I	-1	2.108	0.37
Cu	1	O	-2	1.601	0.335
Cu	1	S	-2	1.898	0.37
Cu	2	As	-3	2.08	0.37
Cu	2	Br	-1	1.99	0.37
Cu	2	Cl	-1	2.0	0.37
Cu	2	F	-1	1.594	0.37
Cu	2	H	-1	1.21	0.37
Cu	2	I	-1	2.16	0.37
Cu	2	N	-3	1.61	0.37
Cu	2	O	-2	1.6817	0.3617
Cu	2	P	-3	1.97	0.37
Cu	2	S	-2	1.957	0.37
Cu	2	Se	-2	2.072	0.37
Cu	2	Te	-2	2.27	0.37
Cu	3	N	-3	1.753	0.37
Cu	3	O	-2	1.735	0.37
Dy	3	Br	-1	2.53	0.4
